Settlement_Name,AUT_admin_lev,AUT_revenues,AUT_spend_pcap,BLD_wooden,INF_transport,INF_stock_demand,ECN_hhi_empl_rst,ECN_innov_share,ECN_patents,ECN_mining,ECN_empl_gov_military_O,ECO_permafrost,ECO_bioprod,ECO_int_discomf,ECO_gulleys,SOC_migr_4yr_mean,SOC_nat_auton_pcap,SOC_RSCI_publ_pcap,SOC_MSP_per_10k_resid
Апатиты,3,41.68,40.63,0,3,0.25205451,1092.91019337067,0.0184,51.3993049204317,0.6,8.22815533980583,3,1.5,3,0,0.525904160599169,0,8.32681882569348,308.8
Архангельск,5,51.77,25.69,0.71,3,-0.07050298,1137.58842459861,0.0183,16.7182994778355,0.6,17.4419496040538,3,1,1,1,0.511574246337627,2.8,5.01002611440244,456
Воркута,3,26.42,50.52,0.06,2,5.11428620035143,1141.42019332732,0.0126,7.65832911669379,0.8,10.0991114149009,1.5,2.5,3,3,0.609923780384195,6.7,0.802361562714759,300.7
Губкинский,3,53.71,152.34,0.61,3,0.31567418,1521.46199220265,0.0094,1.37169507218545,0.8,9.45646912385036,2.5,1,3,0,0.485170156466908,3.5,1.32911073197909,270
Дудинка,3,37.5,40.5,0.01,2,0.3244887,1223.53619630204,0.0053,0,0.8,12.4954894582195,1,3,4,0,0.572114151652312,8.9,2.76971634481039,252.7
Заполярный,1,67.19,15.92,0.05,3,0.44392173,1074.91050358084,0.0088,3.3999728002176,0.8,8.81400685254455,3,3,2.5,0,0.509758616287291,0,1.08922981867393,177.6
Кандалакша,3,47.89,79.87,0.15,3,0.62917049,1361.00779280273,0.0079,0.617932398195637,0.6,11.433158453026,3,1,2,0,0.569744299038232,0,1.6310527100908,257.7
Кировск,3,51.22,68.9,0,3,0.75590183,2034.21417410058,0.0181,4.61713311549936,0.6,3.75404055245372,3,1.5,3,0,0.519550850155339,7.1,2.68364144271401,192.3
Ковдор,3,46.84,54.96,0.03,3,1.74494164,2931.38672321456,0.0284,0,0.6,4.3692952266946,3,1.5,2,0,0.547012126794168,0,2.55698647530664,214.5
Кола,3,28.63,239.98,0,3,3.9163211458726,1769.91805706468,0.0089,0,0.6,15.9167604049494,3,3,3,0,0.514302648836253,10.3,0,289.6
Лабытнанги,3,14.45,201.81,0.84,2,0.74130583,1219.43359692375,0.0148,0.760600874691006,0.6,18.2120363890833,2.5,2,3,0.5,0.518898065184957,0,0,360
Мончегорск,3,44.06,47.13,0.04,3,0.27369417,1332.26953829495,0.0064,2.44564009071101,0.4,5.16022934352638,3,2,2,0,0.514913950512467,2.2,1.00583199624983,259.5
Муравленко,3,15.43,156.22,0.44,3,1.14589582,1076.829568251,0.0118,0.316846741231266,0.8,11.2537057263224,2.5,1,2,0,0.563214577574552,9.3,0,280
Мурманск,5,59.65,47.12,0.02,3,0.24159292,1072.91686349296,0.016,9.69264921989807,0.6,16.5156058717163,3,3,3,0,0.557274407504021,4.4,4.27569401746026,449.9
Надым,2,44.31,13.6,0.17,3,0.34918478,1232.66497316384,0.0158,6.8171606525882,0.8,5.11357492784603,2.5,1.5,3,0,0.517825524643828,3.1,2.05830143079066,200
Нарьян-Мар,4,67.16,36.63,0.56,2,0.48984683,947.854236364892,0.0204,0.397598505029621,0.8,16.2917949846019,2,2,3,1,0.509189763641325,8.1,0,359
Новодвинск,3,37.86,26.17,0.15,3,3.12259615384615,2828.95873857281,0.0116,0.795777076315022,0.6,6.30597130550649,3,1,1,1,0.550389456553854,0,0,246
Новый Уренгой,3,39.05,109.45,0.31,3,1.53773248726204,1356.60623876762,0.009,11.9458117645065,0.8,6.52304425584085,2.5,1.5,3,0,0.486353762528342,5.1,1.8193821304549,241
Норильск,3,43.27,101.16,0,1,-0.0396049,1248.07770487703,0.0081,5.8083464843065,1,5.5560425981356,1.5,3,4,0,0.50560437161435,2.8,1.64074184457449,273.6
Ноябрьск,3,30.27,109.11,0.5,3,0.0957769080234834,1141.68238314842,0.0133,7.85700255352583,0.8,7.76756848732346,3,1,2,0,0.533635789101238,2.8,0.743708055752508,259
Оленегорск,3,40.72,46.45,0,3,0.42034717,1347.5389463205,0.008,0,0.4,16.0727760543305,3,2,2,0,0.499191454926813,0,0.948300986720711,207.3
Онега,1,43.45,4.25,0.74,3,0.0345382701595202,1178.09572600009,0,0,0.6,12.679173693086,3,1,1,1,0.593298185159455,0,0,223
Полярные Зори,3,44.76,58.44,0.02,3,0.56947686,3001.34592119396,0.0061,1.22077763535372,0.6,6.9041424854913,3,1.5,2,0,0.558799079941762,0,0,208
Ревда,1,31.97,12.44,0.02,3,0.82814457,2211.22537770823,0,0,0.4,23.2435033686237,3,2,2.5,0,0.476788172407153,0,0,192.1
Салехард,4,25.43,154.86,0.72,2,0.89895698,1257.94046541012,0.0216,0.390144938844781,0.6,27.5440595243119,2.5,1.5,3,1,0.487734264952872,17.9,2.51391657329883,261
Северодвинск,3,53.87,37.17,0.17,3,0.07827066,3792.5512613955,0.0121,8.68994917199541,0.6,8.53274010114483,3,1,1,1,0.524104987728457,0.5,0.453534103067081,339
Тарко-Сале,2,29.6,15.51,0.83,3,0.27682524,2153.66462356427,0.0075,0.465094646760616,0.8,4.25278075704077,2.5,1,3,0,0.545667861782152,4.6,0,295
